module,type,name,res_id,src,value,comments
base,model,"ir.module.module,description",base.module_l10n_multilang,"
    * Multi language support for Chart of Accounts, Taxes, Tax Codes, Journals,
      Accounting Templates, Analytic Chart of Accounts and Analytic Journals.
    * Setup wizard changes
        - Copy translations for COA, Tax, Tax Code and Fiscal Position from
          templates to target objects.
    ",,
base,model,"ir.module.module,description",base.module_test_documentation_examples,"
    Contains pieces of code to be used as technical documentation examples
    (via the ``literalinclude`` directive) in situations where they can be
    syntax-checked and tested.
    ",,
base,model,"ir.module.module,description",base.module_account_lock,"
    Make the lock date irreversible:

    * You cannot define stricter conditions on advisors than on users. Then, the lock date on advisor must be set before the lock date for users.
    * You cannot lock a period that is not finished yet. Then, the lock date for advisors must be set before the last day of the previous month.
    * The new lock date for advisors must be set after the previous lock date.
    ",,
base,model,"ir.module.module,description",base.module_hr_timesheet_attendance,"
    Module linking the attendance module to the timesheet app.
    ",,
base,model,"ir.module.module,description",base.module_payment_payumoney,"
    PayuMoney Payment Acquirer for India.

    PayUmoney payment gateway supports only INR currency.
    ",,
base,model,"ir.module.module,description",base.module_l10n_be_hr_payroll_account,"
Accounting Data for Belgian Payroll Rules.
==========================================
    ",,
base,model,"ir.module.module,description",base.module_website_sale_delivery,"
Add a selection of delivery methods to your eCommerce store.
Configure your own methods with a pricing grid or integrate with carriers for a fully automated shipping process.
    ",,
base,model,"ir.module.module,description",base.module_hr_contract,"
Add all information on the employee form to manage contracts.
=============================================================

    * Contract
    * Place of Birth,
    * Medical Examination Date
    * Company Vehicle

You can assign several contracts per employee.
    ",,
base,model,"ir.module.module,description",base.module_product_email_template,"
Add email templates to products to be sent on invoice confirmation
==================================================================

With this module, link your products to a template to send complete information and tools to your customer.
For instance when invoicing a training, the training agenda and materials will automatically be sent to your customers.'
    ",,
base,model,"ir.module.module,description",base.module_product_margin,"
Adds a reporting menu in products that computes sales, purchases, margins and other interesting indicators based on invoices.
=============================================================================================================================

The wizard to launch the report has several options to help you get the data you need.
",,
base,model,"ir.module.module,description",base.module_pad,"
Adds enhanced support for (Ether)Pad attachments in the web client.
===================================================================

Lets the company customize which Pad installation should be used to link to new
pads (by default, http://etherpad.com/).
    ",,
base,model,"ir.module.module,description",base.module_pos_mercury,"
Allow credit card POS payments
==============================

This module allows customers to pay for their orders with credit
cards. The transactions are processed by Mercury (developed by Wells
Fargo Bank). A Mercury merchant account is necessary. It allows the
following:

* Fast payment by just swiping a credit card while on the payment screen
* Combining of cash payments and credit card payments
* Cashback
* Supported cards: Visa, MasterCard, American Express, Discover
    ",,
base,model,"ir.module.module,description",base.module_website_sale_wishlist,"
Allow shoppers of your eCommerce store to create personalized collections of products they want to buy and save them for future reference.
    ",,
base,model,"ir.module.module,description",base.module_auth_oauth,"
Allow users to login through OAuth2 Provider.
=============================================
",,
base,model,"ir.module.module,description",base.module_auth_signup,"
Allow users to sign up and reset their password
===============================================
    ",,
base,model,"ir.module.module,description",base.module_website_livechat,"
Allow website visitors to chat with the collaborators. This module also brings a feedback tool for the livechat and web pages to display your channel with its ratings on the website.
    ",,
base,model,"ir.module.module,description",base.module_account_cancel,"
Allows canceling accounting entries.
====================================

This module adds a checkbox on the accounting journals to allow the cancellation of journal entries.

This checkbox is only visible on the accounting journals when the debug mode is active.

If this checkbox is set to TRUE, it allows users to cancel journal entries.

The accounting entry that is cancelled can then be modified and reposted or deleted.

It also operates on invoices, bank statements, payments ...

Be careful with this module as it has audit implications. Cancelling accounting entries is not authorized in all countries.
",,
base,model,"ir.module.module,description",base.module_sale_purchase,"
Allows the outsourcing of services. This module allows one to sell services provided
by external providers and will automatically generate purchase orders directed to the service seller.
    ",,
base,model,"ir.module.module,description",base.module_mrp_bom_cost,"
Allows to compute the cost of the product based on its BoM,
using the costs of its components and work center operations.
It adds a button on the product itself but also an action in the list view of the products.
If the automated inventory valuation is active, the necessary accounting entries will be created.
",,
base,model,"ir.module.module,description",base.module_sale_timesheet,"
Allows to sell timesheets in your sales order
=============================================

This module set the right product on all timesheet lines
according to the order/contract you work on. This allows to
have real delivered quantities in sales orders.
",,
base,model,"ir.module.module,description",base.module_snailmail,"
Allows users to send documents by post
=====================================================
        ",,
base,model,"ir.module.module,description",base.module_snailmail_account,"
Allows users to send invoices by post
=====================================================
        ",,
base,model,"ir.module.module,description",base.module_delivery,"
Allows you to add delivery methods in sale orders and picking.
==============================================================

You can define your own carrier for prices. When creating
invoices from picking, the system is able to add and compute the shipping line.
",,
base,model,"ir.module.module,description",base.module_l10n_ar,"
Argentinian accounting chart and tax localization.
==================================================

Plan contable argentino e impuestos de acuerdo a disposiciones vigentes

    ",,
base,model,"ir.module.module,description",base.module_website_forum,"
Ask questions, get answers, no distractions
        ",,
base,model,"ir.module.module,description",base.module_account_test,"
Asserts on accounting.
======================
With this module you can manually check consistencies and inconsistencies of accounting module from menu Reporting/Accounting/Accounting Tests.

You can write a query in order to create Consistency Test and you will get the result of the test 
in PDF format which can be accessed by Menu Reporting -> Accounting Tests, then select the test 
and print the report from Print button in header area.
",,
base,model,"ir.module.module,description",base.module_document,"
Attachments list and document indexation
========================================
* Show attachment on the top of the forms
* Document Indexation: odt
",,
base,model,"ir.module.module,description",base.module_l10n_au,"
Australian Accounting Module
============================

Australian accounting basic charts and localizations.

Also:
    - activates a number of regional currencies.
    - sets up Australian taxes.
    ",,
base,model,"ir.module.module,description",base.module_base_gengo,"
Automated Translations through Gengo API
========================================

This module will install passive scheduler job for automated translations 
using the Gengo API. To activate it, you must
1) Configure your Gengo authentication parameters under `Settings > Companies > Gengo Parameters`
2) Launch the wizard under `Settings > Application Terms > Gengo: Manual Request of Translation` and follow the wizard.

This wizard will activate the CRON job and the Scheduler and will start the automatic translation via Gengo Services for all the terms where you requested it.
    ",,
base,model,"ir.module.module,description",base.module_l10n_et,"
Base Module for Ethiopian Localization
======================================

This is the latest Ethiopian Odoo localization and consists of:
    - Chart of Accounts
    - VAT tax structure
    - Withholding tax structure
    - Regional State listings
    ",,
base,model,"ir.module.module,description",base.module_l10n_br,"
Base module for the Brazilian localization
==========================================

This module consists in:

 - Generic Brazilian chart of accounts
 - Brazilian taxes such as:

        - IPI
        - ICMS
        - PIS
        - COFINS
        - ISS
        - IR
        - IRPJ
        - CSLL

The field tax_discount has also been added in the account.tax.template and 
account.tax objects to allow the proper computation of some Brazilian VATs 
such as ICMS. The chart of account creation wizard has been extended to 
propagate those new data properly.

It's important to note however that this module lack many implementations to 
use Odoo properly in Brazil. Those implementations (such as the electronic 
fiscal Invoicing which is already operational) are brought by more than 15 
additional modules of the Brazilian Launchpad localization project 
https://launchpad.net/openerp.pt-br-localiz and their dependencies in the 
extra addons branch. Those modules aim at not breaking with the remarkable 
Odoo modularity, this is why they are numerous but small. One of the 
reasons for maintaining those modules apart is that Brazilian Localization 
leaders need commit rights agility to complete the localization as companies 
fund the remaining legal requirements (such as soon fiscal ledgers, 
accounting SPED, fiscal SPED and PAF ECF that are still missing as September 
2011). Those modules are also strictly licensed under AGPL V3 and today don't 
come with any additional paid permission for online use of 'private modules'.
",,
base,model,"ir.module.module,description",base.module_l10n_be_hr_payroll,"
Belgian Payroll Rules.
======================

    * Employee Details
    * Employee Contracts
    * Passport based Contract
    * Allowances/Deductions
    * Allow to configure Basic/Gross/Net Salary
    * Employee Payslip
    * Monthly Payroll Register
    * Integrated with Leaves Management
    * Salary Maj, ONSS, Withholding Tax, Child Allowance, ...
    ",,
base,model,"ir.module.module,description",base.module_l10n_bo,"
Bolivian accounting chart and tax localization.

Plan contable boliviano e impuestos de acuerdo a disposiciones vigentes

    ",,
base,model,"ir.module.module,description",base.module_website_rating,"
Bridge module for rating on website stuff.
        ",,
base,model,"ir.module.module,description",base.module_project_timesheet_holidays,"
Bridge module to integrate leaves in timesheet
================================================

This module allows to automatically log timesheets when employees are
on leaves. Project and task can be configured company-wide.
    ",,
base,model,"ir.module.module,description",base.module_crm_phone_validation,"
CRM Phone Numbers Validation
============================

This module allows for validate and format phone numbers for leads and contacts.",,
base,model,"ir.module.module,description",base.module_l10n_ve,"
Chart of Account for Venezuela.
===============================

Venezuela doesn't have any chart of account by law, but the default
proposed in Odoo should comply with some Accepted best practices in Venezuela, 
this plan comply with this practices.

This module has been tested as base for more of 1000 companies, because 
it is based in a mixtures of most common software in the Venezuelan 
market what will allow for sure to accountants feel them first steps with 
Odoo more confortable.

This module doesn't pretend be the total localization for Venezuela, 
but it will help you to start really quickly with Odoo in this country.

This module give you.
---------------------

- Basic taxes for Venezuela.
- Have basic data to run tests with community localization.
- Start a company from 0 if your needs are basic from an accounting PoV.

We recomend use of account_anglo_saxon if you want valued your 
stocks as Venezuela does with out invoices.

If you install this module, and select Custom chart a basic chart will be proposed, 
but you will need set manually account defaults for taxes.
",,
base,model,"ir.module.module,description",base.module_l10n_th,"
Chart of Accounts for Thailand.
===============================

Thai accounting chart and localization.
    ",,
base,model,"ir.module.module,description",base.module_l10n_cr,"
Chart of accounts for Costa Rica.
=================================

Includes:
---------
    * account.account.template
    * account.tax.template
    * account.chart.template

Everything is in English with Spanish translation. Further translations are welcome,
please go to http://translations.launchpad.net/openerp-costa-rica.
    ",,
base,model,"ir.module.module,description",base.module_l10n_cl,"
Chilean accounting chart and tax localization.
==============================================
Plan contable chileno e impuestos de acuerdo a disposiciones vigentes

    ",,
base,model,"ir.module.module,description",base.module_base_address_city,"
City Management in Addresses
============================

This module allows to enforce users to choose the city of a partner inside a given list instead of a free text field.
        ",,
base,model,"ir.module.module,description",base.module_decimal_precision,"
Configure the price accuracy you need for different kinds of usage: accounting, sales, purchases.
=================================================================================================
",,
base,model,"ir.module.module,description",base.module_website_crm_phone_validation,"
Contact Number Validation on Website
====================================

Validate contact (phone,mobile) numbers and normalize them on leads and contacts:
- use the national format for your company country
- use the international format for all others
        ",,
base,model,"ir.module.module,description",base.module_website_survey,"
Create beautiful surveys and display them on your website
=========================================================

Use the styling and layout of your website for your surveys.
",,
base,model,"ir.module.module,description",base.module_survey,"
Create beautiful surveys and visualize answers
==============================================

It depends on the answers or reviews of some questions by different users. A
survey may have multiple pages. Each page may contain multiple questions and
each question may have multiple answers. Different users may give different
answers of question and according to that survey is done. Partners are also
sent mails with personal token for the invitation of the survey.
    ",,
base,model,"ir.module.module,description",base.module_link_tracker,"
Create short and trackable URLs.
=====================================================

        ",,
base,model,"ir.module.module,description",base.module_event_sale,"
Creating registration with sales orders.
========================================

This module allows you to automate and connect your registration creation with
your main sale flow and therefore, to enable the invoicing feature of registrations.

It defines a new kind of service products that offers you the possibility to
choose an event category associated with it. When you encode a sales order for
that product, you will be able to choose an existing event of that category and
when you confirm your sales order it will automatically create a registration for
this event.
",,
base,model,"ir.module.module,description",base.module_l10n_hr,"
Croatian localisation.
======================

Author: Goran Kliska, Slobodni programi d.o.o., Zagreb
        https://www.slobodni-programi.hr

Contributions:
  Tomislav Bošnjaković, Storm Computers: tipovi konta
  Ivan Vađić, Slobodni programi: tipovi konta

Description:

Croatian Chart of Accounts (RRIF ver.2012)

RRIF-ov računski plan za poduzetnike za 2012.
Vrste konta
Kontni plan prema RRIF-u, dorađen u smislu kraćenja naziva i dodavanja analitika
Porezne grupe prema poreznoj prijavi
Porezi PDV obrasca
Ostali porezi
Osnovne fiskalne pozicije

Izvori podataka:
 https://www.rrif.hr/dok/preuzimanje/rrif-rp2011.rar
 https://www.rrif.hr/dok/preuzimanje/rrif-rp2012.rar

",,
base,model,"ir.module.module,description",base.module_l10n_de,"
Dieses  Modul beinhaltet einen deutschen Kontenrahmen basierend auf dem SKR03.
==============================================================================

German accounting chart and localization.
    ",,
base,model,"ir.module.module,description",base.module_l10n_de_skr03,"
Dieses  Modul beinhaltet einen deutschen Kontenrahmen basierend auf dem SKR03.
==============================================================================

German accounting chart and localization.
    ",,
base,model,"ir.module.module,description",base.module_l10n_de_skr04,"
Dieses  Modul beinhaltet einen deutschen Kontenrahmen basierend auf dem SKR04.
==============================================================================

German accounting chart and localization.
    ",,
base,model,"ir.module.module,description",base.module_website_sale_management,"
Display orders to invoice in website dashboard.
",,
base,model,"ir.module.module,description",base.module_l10n_it_edi,"
E-invoice implementation
    ",,
base,model,"ir.module.module,description",base.module_hw_escpos,"
ESC/POS Hardware Driver
=======================

This module allows Odoo to print with ESC/POS compatible printers and
to open ESC/POS controlled cashdrawers in the point of sale and other modules
that would need such functionality.

",,
base,model,"ir.module.module,description",base.module_l10n_eu_service,"
EU Mini One Stop Shop (MOSS) VAT for telecommunications, broadcasting and electronic services
=============================================================================================

As of January 1rst, 2015, telecommunications, broadcasting
and electronic services sold within the European Union
have to be always taxed in the country where the customer
belongs. In order to simplify the application of this EU
directive, the Mini One Stop Shop (MOSS) registration scheme
allows businesses to make a unique tax declaration.

This module makes it possible by helping with the creation
of the required EU fiscal positions and taxes in order to
automatically apply and record the required taxes.

This module installs a wizard to help setup fiscal positions
and taxes for selling electronic services inside EU.

The wizard lets you select:
 - the EU countries to which you are selling these
   services
 - your national VAT tax for services, to be mapped
   to the target country's tax
 - optionally: a template fiscal position, in order
   to copy the account mapping. Should be your
   existing B2C Intra-EU fiscal position. (defaults
   to no account mapping)
 - optionally: an account to use for collecting the
   tax amounts (defaults to the account used by your
   national VAT tax for services)

It creates the corresponding fiscal positions and taxes,
automatically applicable for EU sales with a customer
in the selected countries.
The wizard can be run again for adding more countries.

The wizard creates a separate Chart of Taxes for collecting the
VAT amounts of the MOSS declaration, so extracting the MOSS
data should be easy.
Look for a Chart of Taxes named ""EU MOSS VAT Chart"" in the
Taxes Report menu (Generic Accounting Report).

References
++++++++++
- Directive 2008/8/EC
- Council Implementing Regulation (EU) No 1042/2013

    ",,
base,model,"ir.module.module,description",base.module_utm,"
Enable UTM trackers in shared links.
=====================================================
        ",,
base,model,"ir.module.module,description",base.module_base_address_extended,"
Extended Addresses Management
=============================

This module holds all extra fields one may need to manage accurately addresses.

For example, in legal reports, some countries need to split the street into several fields,
with the street name, the house number, and room number.
        ",,
base,model,"ir.module.module,description",base.module_hw_blackbox_be,"
Fiscal Data Module Hardware Driver
==================================

This module allows a Point Of Sale client to communicate with a
connected Belgian Fiscal Data Module.

This module does **not** turn an Odoo Point Of Sale module into a certified
Belgian cash register. It allows the communication on with a certified Fiscal
Data Module but will not modify the behaviour of the Point of Sale.
",,
base,model,"ir.module.module,description",base.module_l10n_fr_hr_payroll,"
French Payroll Rules.
=====================

    - Configuration of hr_payroll for French localization
    - All main contributions rules for French payslip, for 'cadre' and 'non-cadre'
    - New payslip report

TODO:
-----
    - Integration with holidays module for deduction and allowance
    - Integration with hr_payroll_account for the automatic account_move_line
      creation from the payslip
    - Continue to integrate the contribution. Only the main contribution are
      currently implemented
    - Remake the report under webkit
    - The payslip.line with appears_in_payslip = False should appears in the
      payslip interface, but not in the payslip report
    ",,
base,model,"ir.module.module,description",base.module_gamification,"
Gamification process
====================
The Gamification module provides ways to evaluate and motivate the users of Odoo.

The users can be evaluated using goals and numerical objectives to reach.
**Goals** are assigned through **challenges** to evaluate and compare members of a team with each others and through time.

For non-numerical achievements, **badges** can be granted to users. From a simple ""thank you"" to an exceptional achievement, a badge is an easy way to exprimate gratitude to a user for their good work.

Both goals and badges are flexibles and can be adapted to a large range of modules and actions. When installed, this module creates easy goals to help new users to discover Odoo and configure their user profile.
",,
base,model,"ir.module.module,description",base.module_l10n_uy,"
General Chart of Accounts.
==========================

Provide Templates for Chart of Accounts, Taxes for Uruguay.

",,
base,model,"ir.module.module,description",base.module_website_crm,"
Generate leads or opportunities in the CRM app from a contact form published on the Contact us page of your website. This form can be customized thanks to the *Form Builder* module (available in Odoo Enterprise).
    ",,
base,model,"ir.module.module,description",base.module_website_links,"
Generate short links with analytics trackers (UTM) to share your pages through marketing campaigns.
Those trackers can be used in Google Analytics to track clicks and visitors, or in Odoo reports to analyze the efficiency of those campaigns in terms of lead generation, related revenues (sales orders), recruitment, etc.
    ",,
base,model,"ir.module.module,description",base.module_website_form_project,"
Generate tasks in Project app from a form published on your website. This module requires the use of the *Form Builder* module (available in Odoo Enterprise) in order to build the form.
    ",,
base,model,"ir.module.module,description",base.module_hr_payroll_account,"
Generic Payroll system Integrated with Accounting.
==================================================

    * Expense Encoding
    * Payment Encoding
    * Company Contribution Management
    ",,
base,model,"ir.module.module,description",base.module_hw_drivers,"
Hardware Poxy
=============

This module allows you to remotely use peripherals connected to this server.

This modules only contains the enabling framework. The actual devices drivers
are found in other modules that must be installed separately.

",,
base,model,"ir.module.module,description",base.module_hw_proxy,"
Hardware Poxy
=============

This module allows you to remotely use peripherals connected to this server.

This modules only contains the enabling framework. The actual devices drivers
are found in other modules that must be installed separately. 

",,
base,model,"ir.module.module,description",base.module_base_import_module,"
Import a custom data module
===========================

This module allows authorized users to import a custom data module (.xml files and static assests)
for customization purpose.
",,
base,model,"ir.module.module,description",base.module_l10n_cn,"
Includes the following data for the Chinese localization
========================================================

Account Type/科目类型

State Data/省份数据

    ",,
base,model,"ir.module.module,description",base.module_l10n_cn_city,"
Includes the following data for the Chinese localization
========================================================

City Data/城市数据

    ",,
base,model,"ir.module.module,description",base.module_l10n_cn_standard,"
Including the following data in the Accounting Standards for Business Enterprises
包含企业会计准则以下数据

* Chart of Accounts
* 科目表模板

* Account templates
* 科目模板

* Tax templates
* 税金模板

    ",,
base,model,"ir.module.module,description",base.module_l10n_in,"
Indian Accounting: Chart of Account.
====================================

Indian accounting chart and localization.

Odoo allows to manage Indian Accounting by providing Two Formats Of Chart of Accounts i.e Indian Chart Of Accounts - Standard and Indian Chart Of Accounts - Schedule VI.

Note: The Schedule VI has been revised by MCA and is applicable for all Balance Sheet made after
31st March, 2011. The Format has done away with earlier two options of format of Balance
Sheet, now only Vertical format has been permitted Which is Supported By Odoo.
  ",,
base,model,"ir.module.module,description",base.module_l10n_in_schedule6,"
Indian Accounting: Chart of Account.
====================================

Indian accounting chart and localization.

Schedule VI chart of account for indian accounting.

Note: The Schedule VI has been revised by MCA and is applicable for all Balance Sheet made after
31st March, 2011. The Format has done away with earlier two options of format of Balance
Sheet, now only Vertical format has been permitted Which is Supported By OpenERP.
  ",,
base,model,"ir.module.module,description",base.module_l10n_in_hr_payroll,"
Indian Payroll Salary Rules.
============================

    -Configuration of hr_payroll for India localization
    -All main contributions rules for India payslip.
    * New payslip report
    * Employee Contracts
    * Allow to configure Basic / Gross / Net Salary
    * Employee PaySlip
    * Allowance / Deduction
    * Integrated with Leaves Management
    * Medical Allowance, Travel Allowance, Child Allowance, ...
    - Payroll Advice and Report
    - Yearly Salary by Head and Yearly Salary by Employee Report
    ",,
base,model,"ir.module.module,description",base.module_google_drive,"
Integrate google document to Odoo record.
============================================

This module allows you to integrate google documents to any of your Odoo record quickly and easily using OAuth 2.0 for Installed Applications,
You can configure your google Authorization Code from Settings > Configuration > General Settings by clicking on ""Generate Google Authorization Code""
",,
base,model,"ir.module.module,description",base.module_account,"
Invoicing & Payments
====================
The specific and easy-to-use Invoicing system in Odoo allows you to keep track of your accounting, even when you are not an accountant. It provides an easy way to follow up on your vendors and customers.

You could use this simplified accounting in case you work with an (external) account to keep your books, and you still want to keep track of payments. This module also offers you an easy method of registering payments, without having to encode complete abstracts of account.
    ",,
base,model,"ir.module.module,description",base.module_hw_posbox_homepage,"
IoT Box Homepage
================

This module overrides Odoo web interface to display a simple
Homepage that explains what's the iotbox and shows the status,
and where to find documentation.

If you activate this module, you won't be able to access the 
regular Odoo interface anymore.

",,
base,model,"ir.module.module,description",base.module_stock_landed_costs,"
Landed Costs Management
=======================
This module allows you to easily add extra costs on pickings and decide the split of these costs among their stock moves in order to take them into account in your stock valuation.
    ",,
